"","sex","sat_v","sat_m","hs_gpa","fy_gpa","sat_sum"
"97","2",37,43,2.03,2,80
"98","2",45,63,4,4,108
"99","2",53,52,3.6,2.98,105
"100","1",47,57,3.25,2.8,104
"101","2",53,52,2.75,2.48,105
"102","1",44,59,3.8,2.38,103
"103","2",55,55,3.6,3.11,110
"104","1",51,59,2.5,2.38,110
"105","1",56,65,4,3.12,121
"106","2",41,50,3.1,1.5,91
"107","2",53,62,3.7,2.98,115
"108","2",49,57,3.7,2.65,106
"109","1",42,66,3.8,2.24,108
"110","2",51,41,2.7,1.62,92
"111","2",49,57,3.75,3.02,106
"112","1",40,50,2.2,2.36,90
"113","2",63,56,3.7,3.24,119
"114","1",44,58,3.8,3.21,102
"115","2",42,42,2.4,2.22,84
"116","1",58,60,3.75,2.79,118
"117","2",44,57,2,1.78,101
"118","1",53,68,3.7,2.6,121
"119","2",56,57,3.6,2.48,113
"120","2",49,60,3,2.7,109
"121","1",44,59,3.8,3.48,103
"122","1",58,63,4,3.75,121
"123","1",44,58,3.67,3.27,102
"124","1",49,57,4,3.17,106
"125","1",53,52,3.4,2.96,105
"126","2",46,44,2.75,2.17,90
"127","2",52,45,3.33,2.24,97
"128","1",56,58,3.3,2.03,114
"129","2",49,62,2.9,2.7,111
"130","2",45,53,2.7,1.35,98
"131","2",45,46,3.75,1.13,91
"132","2",45,58,3.75,2.91,103
"133","1",56,50,3,2.95,106
"134","2",45,50,3.7,2.17,95
"135","2",36,43,2.8,2.35,79
"136","1",50,59,3,2.57,109
"137","1",65,66,3.75,2.9,131
"138","2",53,50,2.3,1.21,103
"139","1",61,64,4,2.75,125
"140","2",54,49,2.3,1.38,103
"141","2",62,57,2.75,1.69,119
"142","2",49,44,2.75,2.38,93
"143","1",41,37,3.2,1.43,78
"144","1",41,50,3,2.26,91
"145","1",52,52,3.5,2.23,104
"146","1",50,63,2.5,1.94,113
"147","1",50,77,3,2.02,127
"148","1",40,62,3.5,2.46,102
"149","1",62,71,3,3.25,133
"150","2",45,59,3.75,3.22,104
"151","2",54,59,3.7,3.13,113
"152","1",58,59,3.3,1.88,117
"153","1",56,74,4,3.19,130
"154","2",55,57,3.6,2.44,112
"155","1",57,66,3,3.17,123
"156","1",46,57,2.8,2.5,103
"157","1",43,49,2,1.18,92
"158","1",42,52,3,2.36,94
"159","1",49,68,3,2.02,117
"160","1",48,41,2.4,1.73,89
"161","2",39,33,2.3,2.85,72
"162","2",57,72,3.7,2.13,129
"163","2",47,48,3.4,3,95
"164","2",46,51,3.1,2.24,97
"165","2",49,38,2.5,2.24,87
"166","2",54,47,2.8,2.4,101
"167","2",57,50,3.8,3.59,107
"168","1",52,66,3.5,2.52,118
"169","2",44,53,3.2,2.42,97
"170","2",44,57,2.6,2.67,101
"171","1",51,57,3.2,2.37,108
"172","2",35,32,3.1,2.26,67
"173","1",39,56,3.75,2.46,95
"174","1",49,57,3.2,1.79,106
"175","1",45,64,3.5,2.86,109
"176","2",50,58,3.7,3.63,108
"177","1",40,55,2.4,1.37,95
"178","2",47,55,3.25,2.7,102
"179","2",42,44,3.2,1.97,86
"180","1",53,59,3,2.91,112
"181","2",46,58,3.5,2.54,104
"182","1",41,37,3.2,1.51,78
"183","2",50,49,3.75,3.13,99
"184","1",53,59,3.5,2.96,112
"185","2",43,46,2.9,2.51,89
"186","1",53,68,3.8,3.48,121
"187","2",47,60,3.75,2.98,107
"188","1",38,67,4,3.81,105
"189","1",39,56,3.7,3.81,95
"190","1",47,47,3.6,2.96,94
"191","1",47,41,3,3.27,88
"192","1",54,60,3.5,2.88,114
"193","1",40,58,2.7,1.15,98
"194","2",44,58,2,1.78,102
"195","1",44,55,3.04,2.67,99
"196","1",53,70,3.8,3.48,123
"197","2",47,60,3.25,2.64,107
"198","2",66,61,3.4,2.94,127
"199","2",62,59,3.2,2.43,121
"200","2",62,59,3.2,2.83,121
"201","1",62,64,3.7,2.4,126
"202","1",44,57,3.75,2.66,101
"203","1",49,55,3.4,1.6,104
"204","1",40,41,1.8,1.49,81
"205","2",43,43,3.2,1.97,86
"206","1",55,65,3.7,2.86,120
"207","2",41,52,4,3.24,93
"208","1",48,54,3.1,2.54,102
"209","2",53,54,3.33,3.37,107
"210","1",50,77,3,2.09,127
"211","2",39,51,3.5,3.06,90
"212","1",48,63,3.8,2.34,111
"213","1",45,59,3.9,3.21,104
"214","1",29,51,3.5,3.1,80
"215","2",42,59,2.8,1.86,101
"216","2",58,71,4,3.31,129
"217","2",52,53,4,3.78,105
"218","2",47,47,2.9,2,94
"219","1",55,57,3.4,1.95,112
"220","2",36,41,3,0.61,77
"221","1",54,52,2.7,1.64,106
"222","1",42,37,2,1.64,79
"223","2",46,58,2.9,2.8,104
"224","2",53,50,3.4,3.37,103
"225","1",46,60,3.5,2.34,106
"226","2",43,47,2.9,2.6,90
"227","1",58,60,3.3,2.45,118
"228","1",63,68,4,3.91,131
"229","1",40,45,3,2.33,85
"230","1",45,64,4,2.66,109
"231","1",39,38,3.2,1.51,77
"232","2",42,40,3.1,1.87,82
"233","1",42,37,2.3,2.38,79
"234","1",41,60,3.5,2.04,101
"235","2",58,64,4,3.94,122
"236","2",36,38,3.25,1.62,74
"237","2",49,55,2.7,1.14,104
"238","1",49,49,2.4,0.87,98
"239","2",50,48,3.2,1.95,98
"240","1",49,58,3.8,2.17,107
"241","2",55,49,3.9,3.3,104
"242","1",38,58,2.7,1.14,96
"243","2",36,45,3.4,3.28,81
"244","2",36,35,2.25,2.35,71
"245","1",31,50,2.75,1.76,81
"246","2",57,55,3.75,2.48,112
"247","2",38,32,3.5,2.71,70
"248","1",54,62,3.5,2.96,116
"249","2",39,53,2.2,2.08,92
"250","1",50,48,2.75,2.42,98
"251","2",67,70,3.8,3.31,137
"252","1",41,50,3,2.26,91
"253","1",52,60,3,2.89,112
"254","2",45,64,4,2.77,109
"255","1",53,62,3.7,2.6,115
"256","2",45,50,3,2.27,95
"257","1",46,57,2.8,1.83,103
"258","2",49,52,4,2.58,101
"259","1",52,50,3,2.54,102
"260","1",48,64,3,2.91,112
"261","2",45,57,3.2,1.6,102
"262","2",42,51,3.1,2.49,93
"263","1",40,46,2.8,1.52,86
"264","1",59,63,2.8,2.83,122
"265","1",51,66,3.75,2.63,117
"266","2",43,47,3.1,2.56,90
"267","1",46,44,2.7,1.63,90
"268","1",52,60,2.5,2.94,112
"269","1",49,49,2.5,2.04,98
"270","1",42,50,2.2,2.66,92
"271","2",56,58,4,2.65,114
"272","1",52,67,3.3,3.38,119
"273","2",60,49,4,2.33,109
"274","2",62,57,3.7,2.65,119
"275","1",57,56,2.5,2.27,113
"276","1",56,52,3,2.09,108
"277","1",55,35,3.7,2.09,90
"278","2",42,51,4,4,93
"279","2",42,60,3.5,3.14,102
"280","1",58,50,2.8,2.85,108
"281","2",50,43,3.1,2.31,93
"282","1",58,60,3.5,2.96,118
"283","1",64,59,3.8,2.52,123
"284","1",58,57,3,2.19,115
"285","1",53,59,3.25,3.22,112
"286","2",66,66,3,3.07,132
"287","1",55,55,3.2,2.72,110
"288","2",45,59,3.6,2.98,104
"289","1",49,57,2.2,2.08,106
"290","1",52,73,3,1.89,125
"291","1",48,64,3.8,1.13,112
"292","2",50,58,3.75,3.19,108
"293","1",40,44,2.1,1.49,84
"294","1",58,57,4,2.47,115
"295","1",46,63,2.7,3.4,109
"296","2",38,34,2.8,2.33,72
"297","1",41,52,2.2,1.47,93
"298","1",41,56,3,1.79,97
"299","1",42,37,3.5,2,79
"300","2",52,52,3.6,2.38,104
"301","2",53,62,2.75,2.71,115
"302","2",49,57,3.7,3.26,106
"303","2",41,47,4,1.84,88
"304","2",42,53,2.7,2.02,95
"305","2",55,49,3.25,2.8,104
"306","2",57,66,4,3.44,123
"307","1",47,71,3.5,2.86,118
"308","2",54,60,3.25,1.54,114
"309","2",42,55,3.4,3,97
"310","2",57,50,4,2.91,107
"311","1",42,51,2.5,2.22,93
"312","2",43,47,3.5,3.1,90
"313","1",46,54,3.5,2.04,100
"314","2",41,45,3,2.3,86
"315","1",61,45,2.6,3.1,106
"316","2",37,43,2.03,1.73,80
"317","2",43,47,3.7,2.66,90
"318","2",50,52,2.5,1.21,102
"319","2",53,54,3.5,3.1,107
"320","1",42,65,2.8,1.52,107
"321","1",57,66,3,3.17,123
"322","2",58,64,4,3.44,122
"323","2",48,52,3.9,3.4,100
"324","2",45,52,3.1,1.64,97
"325","1",51,36,2.5,3.15,87
"326","1",52,67,3,1.87,119
"327","1",55,67,2.7,2.71,122
"328","1",36,64,3.3,2.9,100
"329","1",48,64,3.7,2.98,112
"330","2",54,40,2.5,1.64,94
"331","1",57,56,2.5,2.19,113
"332","1",50,48,2.9,2.38,98
"333","1",55,48,3.5,2.63,103
"334","1",43,49,2,0.92,92
"335","2",53,65,3.6,3.63,118
"336","1",56,65,2.6,1.8,121
"337","1",43,43,2.3,1.59,86
"338","2",62,57,3.2,2.74,119
"339","1",41,50,2.2,1.47,91
"340","1",48,56,3.1,1.59,104
"341","2",43,58,3.2,2.39,101
"342","2",54,56,3.7,3.13,110
"343","2",45,58,4,3.51,103
"344","1",45,35,2.9,1.98,80
"345","1",46,55,2.5,2.64,101
"346","1",31,50,3.9,2.42,81
"347","2",34,40,2.6,2.58,74
"348","1",59,67,3.5,3.15,126
"349","1",53,52,3.2,3.15,105
"350","1",55,57,2.5,2.38,112
"351","2",63,64,3.8,2.86,127
"352","2",45,55,3.25,1.47,100
"353","1",54,50,3.5,1.97,104
"354","2",38,45,3.1,2.24,83
"355","2",43,52,4,3.11,95
"356","1",59,63,4,3.31,122
"357","2",39,49,3.6,3.56,88
"358","1",36,52,3.9,2.46,88
"359","2",41,56,3.8,2.17,97
"360","1",51,56,3,2.33,107
"361","2",39,53,3.2,2.24,92
"362","1",52,50,3.5,1.96,102
"363","1",44,54,3.04,2.42,98
"364","2",36,38,3.25,1.78,74
"365","2",45,54,4,3.12,99
"366","2",52,52,2.8,2.37,104
"367","1",49,57,2.8,2.04,106
"368","2",51,55,4,3.51,106
"369","1",49,59,3,3.22,108
"370","2",41,38,3.3,2.26,79
"371","1",49,57,3,4,106
"372","2",45,53,3.2,2.27,98
"373","2",33,57,2.8,2.2,90
"374","1",59,63,4,3.12,122
"375","1",35,53,3.9,2.14,88
"376","2",54,61,3.8,2.37,115
"377","2",57,50,3.8,3.1,107
"378","2",53,56,2.75,1.54,109
"379","1",48,56,3.1,2.33,104
"380","1",36,48,2.8,2.62,84
"381","1",43,46,2,1.91,89
"382","2",32,41,2.2,1.18,73
"383","2",37,51,2.5,2.42,88
"384","2",50,53,3.4,3.11,103
"385","1",45,35,2.8,2.98,80
"386","2",43,58,2.8,2.6,101
"387","1",45,53,2.7,1.87,98
"388","2",41,58,3.8,3.34,99
"389","1",58,60,3.75,2.52,118
"390","1",41,44,3.5,2,85
"391","1",47,61,3.5,1.4,108
"392","2",44,58,2.3,2.67,102
"393","1",53,68,4,3.66,121
"394","1",39,55,2.3,2.14,94
"395","2",58,58,3.8,2.86,116
"396","2",45,61,4,1.58,106
"397","2",49,48,3.8,3.1,97
"398","2",38,34,2.3,1.65,72
"399","1",55,67,3,2.29,122
"400","1",62,63,3.5,3.94,125
"401","2",54,49,3.75,3.13,103
"402","2",47,48,4,3.24,95
"403","2",45,53,2.9,1.24,98
"404","1",44,59,3.5,2.69,103
"405","2",54,53,3.5,3.34,107
"406","2",49,51,3.25,2.67,100
"407","1",52,68,3.8,3.82,120
"408","2",42,44,2.8,3.04,86
"409","2",57,50,3.3,3.46,107
"410","1",37,52,3,1.79,89
"411","1",49,40,3.25,2.67,89
"412","1",44,55,3.04,1.5,99
"413","1",49,57,3.25,2.91,106
"414","1",41,56,2.6,1.37,97
"415","2",50,50,3.7,3.1,100
"416","1",54,71,3.7,2.05,125
"417","1",52,57,3.5,1.95,109
"418","1",48,47,2.7,1.79,95
"419","1",55,65,2.3,1.94,120
"420","2",52,49,3.25,2.68,101
"421","2",39,31,2.8,1.7,70
"422","2",47,48,3.5,2.11,95
"423","1",62,75,4,3.59,137
"424","2",46,47,3.5,3.1,93
"425","2",43,45,3,2.94,88
"426","2",37,59,2.8,2.62,96
"427","1",40,52,2.2,2.05,92
"428","1",54,45,3.7,2.05,99
"429","1",39,56,2.9,3.11,95
"430","1",40,52,2.5,1.13,92
"431","1",49,58,3.5,2.25,107
"432","1",56,47,2.5,1.38,103
"433","1",55,65,3.3,2.72,120
"434","2",49,57,3.3,2.8,106
"435","2",54,47,2.6,1.84,101
"436","1",43,45,3.5,2.96,88
"437","2",60,68,4,4,128
"438","1",43,50,3.8,2.24,93
"439","2",44,54,4,4,98
"440","2",34,40,3.8,1.13,74
"441","1",44,41,2.3,1.77,85
"442","1",40,58,2.9,2.09,98
"443","1",36,45,3.5,2,81
"444","2",46,60,3,2.8,106
"445","2",41,50,3.1,2.67,91
"446","1",69,73,3.8,4,142
"447","1",55,53,3,2.75,108
"448","2",52,52,4,3.41,104
"449","2",50,47,3.4,2.79,97
"450","1",46,54,2.7,1.73,100
"451","2",46,47,3,2.24,93
"452","1",43,57,3,2.94,100
"453","1",56,61,3.2,2.03,117
"454","1",55,52,2.7,1.98,107
"455","1",47,45,2.6,2.81,92
"456","2",35,48,3.1,2.08,83
"457","2",39,53,2.5,1.62,92
"458","1",56,63,3.2,2.24,119
"459","2",62,51,2.9,3.16,113
"460","2",36,35,2.7,2.42,71
"461","2",64,68,4,3.5,132
"462","2",41,57,3.4,2.35,98
"463","2",55,38,3.8,3.59,93
"464","1",46,57,3.1,2.18,103
"465","2",36,45,2.67,2.42,81
"466","1",57,55,3.4,3.4,112
"467","2",55,57,3.75,3.48,112
"468","1",40,52,3,2.49,92
"469","2",47,56,3.7,2.17,103
"470","2",45,55,2.5,2.64,100
"471","1",43,51,2.6,2.13,94
"472","2",50,50,3.3,2.54,100
"473","2",46,58,3.25,3.24,104
"474","2",50,58,3.75,3.19,108
"475","1",38,55,2.1,2.05,93
"476","1",57,57,4,3.24,114
"477","1",46,44,2.8,3.29,90
"478","1",44,50,2.5,1.79,94
"479","1",65,60,3.75,2.79,125
"480","1",58,60,3.7,2.05,118
"481","1",61,58,3.5,2.95,119
"482","1",50,58,3.5,3.35,108
"483","2",45,57,3.8,3.26,102
"484","2",52,52,2,2.62,104
"485","1",56,67,3,2.24,123
"486","2",31,38,2.2,1.18,69
"487","1",49,44,3.25,3.06,93
"488","2",59,62,3.5,3.65,121
"489","2",61,61,4,3.12,122
"490","1",46,60,3.2,1.79,106
"491","2",49,58,3.75,2.91,107
"492","1",55,60,3.3,2.31,115
"493","2",53,59,2.75,1.54,112
"494","1",59,59,2.3,2.98,118
"495","1",54,62,4,3.37,116
"496","1",51,56,2.75,3.2,107
"497","2",50,53,3.5,1.92,103
"498","2",42,35,3.1,2.26,77
"499","1",36,45,3.4,2.12,81
"500","2",42,51,3.1,1.5,93
"501","2",39,31,2.8,1.78,70
"502","2",32,54,2.7,1.62,86
"503","2",44,58,3.3,2.58,102
"504","1",40,55,2.4,2.14,95
"505","1",41,51,3,2.49,92
"506","1",61,51,3.3,3.22,112
"507","2",47,55,2.5,2.56,102
"508","2",52,53,3.3,2.54,105
"509","2",39,51,3.5,2.56,90
"510","1",49,40,3,3.27,89
"511","2",50,57,3.2,1.88,107
"512","2",51,41,2.4,2.04,92
"513","2",35,40,3.5,2,75
"514","1",41,57,3.5,2.46,98
"515","2",50,42,3.5,1.7,92
"516","1",44,54,3.75,3.2,98
"517","2",58,66,4,3.44,124
"518","1",47,71,3.5,2.48,118
"519","1",47,60,2.75,1.81,107
"520","2",50,58,3.7,3.1,108
"521","1",52,64,2.6,1.94,116
"522","2",48,62,3.75,3.63,110
"523","1",36,45,2.6,1.8,81
"524","2",36,55,4,2.98,91
"525","1",46,57,2.5,2.27,103
"526","2",48,43,2.3,2.53,91
"527","1",43,45,3.5,2.42,88
"528","1",49,54,4,2.98,103
"529","2",43,53,3.2,2.56,96
"530","2",55,58,3.6,3.47,113
"531","1",61,64,4,2.61,125
"532","2",48,36,3.2,1.45,84
"533","1",61,57,2.5,1.69,118
"534","2",46,45,2.3,2.03,91
"535","1",56,52,3.3,1.57,108
"536","1",56,59,3.3,2.95,115
"537","1",64,76,4,3.72,140
"538","1",49,58,3.8,3.17,107
"539","2",29,57,2.5,1.62,86
"540","1",52,64,3,3.24,116
"541","2",73,57,3.7,2.42,130
"542","2",51,54,3.5,3.73,105
"543","1",61,65,3.7,3.49,126
"544","1",41,59,3.4,2.36,100
"545","1",55,35,3.2,2.8,90
"546","2",49,41,2.7,1.75,90
"547","1",54,64,3.8,3.62,118
"548","1",64,64,3.5,3.94,128
"549","2",47,60,3,2.8,107
"550","1",48,54,3.8,2.17,102
"551","1",43,57,3.2,2.67,100
"552","1",58,63,4,3.09,121
"553","2",45,58,3.8,3.42,103
"554","2",64,60,3.8,3.63,124
"555","1",50,56,3,2.27,106
"556","1",39,44,2.5,1.63,83
"557","1",45,57,3.25,1.6,102
"558","1",56,59,3,2.09,115
"559","1",37,50,3,2.26,87
"560","2",34,53,3.2,1.17,87
"561","1",47,50,3.5,2.56,97
"562","1",56,65,3,2.09,121
"563","1",50,68,3,1.89,118
"564","1",49,54,3,2.43,103
"565","1",69,61,3.75,2.9,130
"566","2",41,55,3.4,3.02,96
"567","1",65,60,3.5,3.02,125
"568","1",43,39,2,2.24,82
"569","1",60,64,3.7,1.95,124
"570","1",62,71,4,4,133
"571","2",62,56,3.5,2.44,118
"572","1",53,62,3.2,3.24,115
"573","1",60,68,4,3.82,128
"574","1",44,54,3.75,3.76,98
"575","1",44,59,3.7,3.2,103
"576","2",41,50,4,3.24,91
"577","2",42,55,3.8,2.58,97
"578","2",53,41,3.5,2.13,94
"579","2",47,56,4,3.11,103
"580","1",58,70,3,1.88,128
"581","2",43,45,3.1,2.24,88
"582","2",41,55,2.8,2.23,96
"583","2",50,50,3.7,3.13,100
"584","2",39,53,3.5,2.56,92
"585","2",56,57,3.3,2.24,113
"586","1",36,45,2.5,1.8,81
"587","2",38,43,2.9,1.93,81
"588","2",44,41,2.7,1.35,85
"589","2",49,62,3.9,3.63,111
"590","1",51,73,2.5,2.72,124
"591","2",39,55,3.8,2.58,94
"592","2",40,34,2.75,1.62,74
"593","2",41,52,3.25,2.83,93
"594","1",60,57,3.3,3.13,117
"595","1",45,57,3.25,2.62,102
"596","2",55,38,3.8,3.3,93
"597","2",47,47,3.1,2.24,94
"598","1",48,53,3.5,1.4,101
"599","2",50,62,3.9,1.94,112
"600","1",60,60,2.5,3.38,120
"601","1",51,63,3.9,3.61,114
"602","1",61,63,3.4,3.65,124
"603","1",35,53,3.3,3.4,88
"604","2",51,41,3.6,2.19,92
"605","1",35,48,2.8,2.62,83
"606","1",64,76,4,3.43,140
"607","2",44,41,4,2.31,85
"608","2",46,58,3.25,3.24,104
"609","1",60,68,4,3.5,128
"610","2",39,63,2.8,1.92,102
"611","1",49,50,2.75,3.16,99
"612","1",44,48,2.75,2.17,92
"613","2",52,45,3.33,2.13,97
"614","1",40,50,2.7,1.65,90
"615","1",54,57,2.8,1.5,111
"616","2",55,61,3.75,3.17,116
"617","2",51,52,3.2,2.59,103
"618","2",41,43,3.5,2.12,84
"619","1",54,72,4,3.08,126
"620","1",48,60,4,1.17,108
"621","1",53,62,3.2,2.49,115
"622","1",43,39,2.3,1.57,82
"623","2",45,58,3.6,3.6,103
"624","1",49,55,3,1.91,104
"625","2",67,52,3.2,3.13,119
"626","2",47,60,3.5,2.56,107
"627","1",56,59,2.3,2.34,115
"628","2",47,51,3.9,3.24,98
"629","2",52,49,2.3,1.71,101
"630","1",50,57,2.75,2.15,107
"631","1",53,62,3.3,3.22,115
"632","2",42,59,3.5,2.54,101
"633","2",67,54,3.25,3.44,121
"634","2",57,55,3.7,1.82,112
"635","2",39,53,2.9,1.72,92
"636","2",54,55,3.5,2.44,109
"637","2",42,35,2.8,1.78,77
"638","2",68,70,4,3.82,138
"639","2",41,57,3,2.88,98
"640","2",44,57,4,3.6,101
"641","1",56,50,3,2.03,106
"642","1",56,58,2.1,2.64,114
"643","2",40,42,3.7,2.07,82
"644","1",62,69,3.7,2.65,131
"645","2",46,44,3,1.95,90
"646","2",57,57,3.5,2.44,114
"647","2",43,56,3.8,2.73,99
"648","1",51,57,3,2.89,108
"649","2",46,44,3,3.29,90
"650","2",55,58,3.6,3.31,113
"651","2",53,62,3.3,2.28,115
"652","1",55,70,2.3,1.94,125
"653","1",56,65,3,2.03,121
"654","1",40,57,2.6,1.74,97
"655","2",39,49,2.7,1.13,88
"656","2",51,51,3.4,2.56,102
"657","2",49,51,4,3.1,100
"658","1",67,60,3.3,2.43,127
"659","2",33,46,2.6,1.62,79
"660","2",55,58,3.75,2.37,113
"661","2",43,42,3,1.63,85
"662","1",43,39,2.25,1.18,82
"663","1",49,54,2.1,0.47,103
"664","1",49,59,3.6,2.17,108
"665","2",43,45,2.8,2.6,88
"666","1",58,60,4,2.06,118
"667","1",55,48,3.2,2.29,103
"668","2",43,61,3,2.39,104
"669","1",66,66,3.2,3.07,132
"670","1",50,50,3,2.54,100
"671","1",47,61,3.7,3.27,108
"672","2",39,51,3,2.3,90
"673","2",59,51,4,2.33,110
"674","2",42,42,2.4,1.33,84
"675","2",48,51,3.9,4,99
"676","2",50,50,3.75,3.16,100
"677","2",50,47,2.67,1.75,97
"678","1",54,45,2.6,1.84,99
"679","1",52,61,2.6,2.38,113
"680","1",42,65,3,2.43,107
"681","2",46,57,3.3,3.24,103
"682","2",48,45,3.7,2.91,93
"683","2",58,58,4,3.77,116
"684","1",47,41,3,3.19,88
"685","2",44,54,3.3,1.74,98
"686","2",61,64,3.8,3.11,125
"687","1",43,59,2.5,2.53,102
"688","1",45,65,4,3.02,110
"689","1",49,60,3.8,3.04,109
"690","2",46,44,2.3,1.91,90
"691","1",58,57,2.7,3.38,115
"692","2",50,58,3.2,1.88,108
"693","2",52,52,3.75,3.48,104
"694","1",54,58,3.5,3,112
"695","2",54,53,2.3,1.64,107
"696","2",48,36,2.8,3,84
"697","1",49,68,3,1.87,117
"698","1",43,50,2.5,2.22,93
"699","2",47,43,3.25,1.91,90
"700","1",41,43,2,1.31,84
"701","1",37,40,3,0.61,77
"702","1",55,55,4,1.85,110
"703","2",46,59,3.4,2.04,105
"704","1",42,50,3,2.94,92
"705","2",52,60,3.25,2.28,112
"706","1",52,61,2.6,2.27,113
"707","1",58,63,4,3.77,121
"708","1",40,57,3.5,2.56,97
"709","1",48,59,3,2.89,107
"710","2",46,48,2.7,1.63,94
"711","2",60,62,4,2.93,122
"712","2",50,53,3,2.1,103
"713","1",46,54,3.5,2.47,100
"714","1",47,41,3.6,2.12,88
"715","1",35,40,3,1.87,75
"716","2",47,53,3.4,2.65,100
"717","2",34,42,2.9,1.97,76
"718","2",43,53,2.6,2.37,96
"719","1",65,62,4,3.31,127
"720","2",39,33,3.25,1.51,72
"721","1",48,54,3.8,2.17,102
"722","2",49,59,3.75,2.07,108
"723","1",39,57,3.1,2.24,96
"724","1",40,58,2.5,1.74,98
"725","2",47,47,2.9,2.24,94
"726","1",52,46,2.75,3.16,98
"727","1",38,50,2.2,1.7,88
"728","1",50,67,3.75,3.62,117
"729","1",43,64,2.8,2.28,107
"730","1",50,59,3.5,1.96,109
"731","2",42,47,3.1,2.67,89
"732","1",50,57,3.2,2.18,107
"733","2",35,58,2.75,2.08,93
"734","2",63,42,2.25,0.82,105
"735","1",39,50,2.5,0,89
"736","2",44,33,4,1.84,77
"737","2",46,49,4,3.24,95
"738","1",38,55,2.8,3.11,93
"739","1",53,57,2.75,2.11,110
"740","1",48,54,3.1,2.8,102
"741","1",45,43,2.4,1.77,88
"742","1",52,73,3,2.32,125
"743","1",53,62,3.5,1.8,115
"744","1",68,73,4,3.43,141
"745","2",42,59,3,3.17,101
"746","2",52,52,2.8,2.85,104
"747","1",62,71,3.8,3.72,133
"748","2",43,43,2.5,1.7,86
"749","1",59,63,4,3.54,122
"750","1",56,52,3.25,2.95,108
"751","1",58,57,4,3.37,115
"752","2",42,39,2.5,2.24,81
"753","1",49,55,3.2,2.54,104
